# Nexus R22 Phase 0 - CodeMirror 6, lokal gevendort (Option A: Import-Map, keine Bundler)
# Jede Datei ist eine unveraenderte Kopie aus dem npm-Tarball des Pakets.
# Nachpruefen:  npm view <paket>@<version> dist.integrity   ->  muss sha512 unten entsprechen
# Neu holen:    scripts/fetch-cm6.mjs (Rezept, laeuft NIE automatisch)
#
datei	paket	version	esm_pfad_im_tarball	bytes	lizenz	tarball_sha512
codemirror-state.js	@codemirror/state	6.7.1	dist/index.js	145680	MIT	sha512-9QzNDgE4EYDnAHfrTlR2lwiPciiOymLtwKK+8yHQzCc7GXhAP9xdEbEJFy2IWB1j9UGUl9BsgMmTo/ImA02T7A==
codemirror-view.js	@codemirror/view	6.43.6	dist/index.js	490236	MIT	sha512-EVunGSYN1wz1p75WY1s3Xg7t3i8Yol0kGZGizNdX9BUFgMFILYVe8/u6EVpo7Ff5PwbZuILb4QAq7IZoKzIEQA==
codemirror-language.js	@codemirror/language	6.12.4	dist/index.js	102129	MIT	sha512-1q4PaT+o6PbgpkJt4Q8Fv5XJxTy4FUZ4MWETtyiDw3J0Pyr9E2vqcKL+k9wcvjNTIsauxvE7OfmWj3FRPHQ76A==
codemirror-commands.js	@codemirror/commands	6.10.4	dist/index.js	83936	MIT	sha512-Ryk9y9T0FFVF0cUGhAknveAyUOl/A1qReTFi+qPKtOh2Z9F4AUBz3XOrYD4ZEgZirdugVzHvd/2/Wcwy5OliTg==
lezer-markdown.js	@lezer/markdown	1.7.2	dist/index.js	86937	MIT	sha512-iTkYvoVcKt3WkeL7qUDyXHONZEwLio4wj8KTNi2dnjQEXBZKMV63BpQrPqfsM+OkvuRbiSTAcycYAsQzLhRNoQ==
lezer-common.js	@lezer/common	1.5.2	dist/index.js	83319	MIT	sha512-sxQE460fPZyU3sdc8lafxiPwJHBzZRy/udNFynGQky1SePYBdhkBl1kOagA9uT3pxR8K09bOrmTUqA9wb/PjSQ==
lezer-highlight.js	@lezer/highlight	1.2.3	dist/index.js	29915	MIT	sha512-qXdH7UqTvGfdVBINrgKhDsVTJTxactNNxLk7+UMwZhU13lMHaOBlJe9Vqp907ya56Y3+ed2tlqzys7jDkTmW0g==
marijn-find-cluster-break.js	@marijn/find-cluster-break	1.0.3	src/index.js	4241	MIT	sha512-FY+MKLBoTsLNJF/eLWaOsXGdz6uh3Iu1axjPf6TUq92IYumcTcXWHoS747JARLkcdlJ/Waiaxc5wQfFO8jC6NA==
crelt.js	crelt	1.0.7	index.js	951	MIT	sha512-aK6BbWfhf4U/wCcLHKPJl/xa6VkVstRaPywWtMKGwuOLc/wZTyQYuoxgvZnNsBvv7Kg3YTBQYYBCggcviQczuA==
style-mod.js	style-mod	4.1.3	src/style-mod.js	6935	MIT	sha512-i/n8VsZydrugj3Iuzll8+x/00GH2vnYsk1eomD8QiRrSAeW6ItbCQDtfXCeJHd0iwiNagqjQkvpvREEPtW3IoQ==
w3c-keyname.js	w3c-keyname	2.2.8	index.js	2630	MIT	sha512-dpojBhNsCNN7T82Tm7k26A6G9ML3NkhDsnw9n/eoxSRlVBB4CEtIQ/KTCLI2Fwf3ataSXRhYFkQi3SlnFwPvPQ==
